BRTH_YR,GNDR,ETHCTY,NM,CNT,RNK
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ABIGAIL,24,24
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ABIGAIL,24,24
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ABIGAIL,24,24
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ADA,13,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ADA,13,35
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ADA,13,35
2011,FEMALE,BLACK NON HISPANIC,AALIYAH,69,5
2011,FEMALE,BLACK NON HISPANIC,AALIYAH,69,5
2011,FEMALE,BLACK NON HISPANIC,AALIYAH,69,5
2011,FEMALE,BLACK NON HISPANIC,ABIGAIL,51,11
2011,FEMALE,BLACK NON HISPANIC,ABIGAIL,51,11
2011,FEMALE,BLACK NON HISPANIC,ABIGAIL,51,11
2011,FEMALE,BLACK NON HISPANIC,ADDISON,13,42
2011,FEMALE,BLACK NON HISPANIC,ADDISON,13,42
2011,FEMALE,BLACK NON HISPANIC,ADDISON,13,42
2011,FEMALE,HISPANIC,AALIYAH,63,30
2011,FEMALE,HISPANIC,AALIYAH,63,30
2011,FEMALE,HISPANIC,AALIYAH,63,30
2011,FEMALE,HISPANIC,ABBY,10,78
2011,FEMALE,HISPANIC,ABBY,10,78
2011,FEMALE,HISPANIC,ABBY,10,78
2011,FEMALE,HISPANIC,ABIGAIL,80,21
2011,FEMALE,HISPANIC,ABIGAIL,80,21
2011,FEMALE,HISPANIC,ABIGAIL,80,21
2011,FEMALE,WHITE NON HISPANIC,ABIGAIL,103,19
2011,FEMALE,WHITE NON HISPANIC,ABIGAIL,103,19
2011,FEMALE,WHITE NON HISPANIC,ABIGAIL,103,19
2011,FEMALE,WHITE NON HISPANIC,ADDISON,19,72
2011,FEMALE,WHITE NON HISPANIC,ADDISON,19,72
2011,FEMALE,WHITE NON HISPANIC,ADDISON,19,72
2011,FEMALE,WHITE NON HISPANIC,ADELE,22,69
2011,FEMALE,WHITE NON HISPANIC,ADELE,22,69
2011,FEMALE,WHITE NON HISPANIC,ADELE,22,69
2011,FEMALE,WHITE NON HISPANIC,ADELINE,12,79
2011,FEMALE,WHITE NON HISPANIC,ADELINE,12,79
2011,FEMALE,WHITE NON HISPANIC,ADELINE,12,79
2011,MALE,ASIAN AND PACIFIC ISLANDER,AARAV,15,51
2011,MALE,ASIAN AND PACIFIC ISLANDER,AARAV,15,51
2011,MALE,ASIAN AND PACIFIC ISLANDER,AARAV,15,51
2011,MALE,ASIAN AND PACIFIC ISLANDER,AARON,51,19
2011,MALE,ASIAN AND PACIFIC ISLANDER,AARON,51,19
2011,MALE,ASIAN AND PACIFIC ISLANDER,AARON,51,19
2011,MALE,ASIAN AND PACIFIC ISLANDER,ABDUL,20,46
2011,MALE,ASIAN AND PACIFIC ISLANDER,ABDUL,20,46
2011,MALE,ASIAN AND PACIFIC ISLANDER,ABDUL,20,46
2011,MALE,HISPANIC,AARON,102,33
2011,MALE,HISPANIC,AARON,102,33
2011,MALE,HISPANIC,AARON,102,33
2011,MALE,HISPANIC,ABDIEL,12,92
2011,MALE,HISPANIC,ABDIEL,12,92
2011,MALE,HISPANIC,ABDIEL,12,92
2011,MALE,HISPANIC,ABEL,14,90
2011,MALE,HISPANIC,ABEL,14,90
2011,MALE,HISPANIC,ABEL,14,90
2011,MALE,HISPANIC,ABRAHAM,22,82
2011,MALE,WHITE NON HISPANIC,AARON,67,49
2011,MALE,WHITE NON HISPANIC,AARON,67,49
2011,MALE,WHITE NON HISPANIC,AARON,67,49
2011,MALE,WHITE NON HISPANIC,ABRAHAM,172,12
2011,MALE,WHITE NON HISPANIC,ABRAHAM,172,12
2011,MALE,WHITE NON HISPANIC,ABRAHAM,172,12
2011,MALE,WHITE NON HISPANIC,ADAM,129,21
2011,MALE,WHITE NON HISPANIC,ADAM,129,21
2011,MALE,WHITE NON HISPANIC,ADAM,129,21
2011,MALE,WHITE NON HISPANIC,ADRIAN,35,72
2011,MALE,WHITE NON HISPANIC,ADRIAN,35,72
